"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D6TLGP","ZJB00465","2018-01-16","33","9234","""2016-11-07""","",""
"DRILL","007888","2017-11-24T00:00:00Z","80","34599","""2017-02-22T19:00:00-0500""","16","24"
"D6TXW","SLJ01290","2017-09-25T09:44:12-0400","40","7063","""2016-06-09T00:00:00-0400""","63","57"
"D8T","KPZ00895","2017-07-31T16:49:08-0500","40","19757","""2009-10-21T00:00:00Z""","51","51"
"316EL","DZW00973","2018-06-04","40","1659","""""","<0","<0"
"D6H","4RC02277","2017-05-12","40","16362","""""","47","44"
"D6HLGP","6FC00372","2017-11-09T00:00:00Z","40","22154","""2007-09-06T00:00:00Z""","0","0"
"345DL","YEE00453","2017-02-16T14:08:20+0800","40","9607","""2011-04-04T00:00:00Z""","20","27"
"330DL","MWP03341","2018-05-07","40","12626","""""","<0","10"
"336DL","W3K00780","2017-12-15","40","9871","""""","17","17"
"320ELRR","TFX01183","2017-06-09T11:44:13-0400","40","1344","""2017-05-16T00:00:00Z""","4","4"
"D11R","9TR00236","2018-01-29","40","19193","""2017-09-01T00:00:00-0600""","26","28"
"D10T","RJG00885","2018-04-24","105","30892","""""","54","65"
"D10T","RJG00885","2018-04-24","105","30892","""""","58","55"
"D9T","RJS01091","2018-02-17","40","16813","""2015-04-06T00:00:00Z""","30","44"
"963C","BBD01211","2017-02-06T00:00:00-0700","40","9477","""2017-03-08T00:00:00Z""","18","20"
"D6TXW","SLJ00208","2017-06-29T00:00:00-0500","40","6055.3","""2011-08-31T00:00:00-0500""","40","34"
"336D2L","LAM00328","2017-11-24","90","3164","""2017-01-30T00:00:00-0500""","21","14"
"963C","BBD02209","2017-12-19","40","11983","""2013-12-09""","62","70"
"D6RXL","5LN1899","2016-11-17T00:00:00Z","5","5400","""2014-11-05T00:00:00-0500""","8","8"
"349F","HPD00786","2018-03-12","40","3620","""""","10","13"
"D6NXL","AKM00721","2018-03-26","40","10235","""""","",""
"D6TXL","GMK00759","2018-05-07","40","4600","""2012-03-20""","54","52"
"D8RII","AKA00530","2017-07-10T14:17:21-0500","40","16344","""2017-07-10T00:00:00Z""","100","103"
"D8RII","AKA00530","2017-07-10T14:17:21-0500","40","16344","""2017-07-10T00:00:00Z""","",""
"D8RII","AKA00530","2017-07-10T14:17:21-0500","40","16344","""2017-07-10T00:00:00Z""","",""
